Continue to the partially-completed dock.	部分的に完成したドックに進みます。
You take a seat across from the Slug, who extends a tentacle towards you. "Greetingssss, Ssstranger. Under thessse circumssstances perhapssss it isss... irrelevant to make your acquaintance... but I like to be cordial. The name'ssss... G-Van. Unfortunately, thissss iss not jussst a ssssimple... meet and greet. I have sssome quessstionsss I would like to... asssk you."⏎⏎The Slug flips through his papers, pulls out a pen, and looks back up at you. "Now then... who issss it that sssent you?"	ナメクジの向かいに座って、あなたに向かって触手を伸ばします。「あいさつ、ssstranger。おそらく、それはあなたの知り合いを作ることは無関係です...しかし、私は心からのことをするのが好きです。しかし、g-van。残念ながら、これはsssimpleではなく..会って挨拶してください。私はあなたを...あなたを攻撃したいと思います。」「さて...誰があなたをssしたのか？」
(Medical Drone) Dispatch the drone to heal the wounded.	（医療ドローン）負傷者を癒すためにドローンを派遣します。
You pummel the dock's structure with your weapons system. The partially completed structure buckles and starts to come apart. Eventually, you reduce large areas of the dock to slag. While they still might be able to salvage this, you have certainly set them back.	武器システムでドックの構造を叩きます。部分的に完成した構造がバックルし、バラバラになり始めます。最終的に、ドックの広い領域をスラグに減らします。彼らはまだこれを救うことができるかもしれませんが、あなたは確かにそれらを後退させました。
[COOLDOWN:30s]⏎Neutralize all crew in the targeted room present at the time of the cast except himself for 20 seconds, setting their stats to default values. Does not impact abilities, death effects, or capabilities.	[Cooldown：30S] cast 20秒以外のターゲットルームにあるターゲットルームのすべての乗組員を20秒間統計し、統計をデフォルト値に設定します。能力、死の影響、または能力に影響を与えません。
(Floral Crew) Have your Orchid talk them into joining you.	（フローラルクルー）あなたのオーキッドに彼らに話しかけてあなたに加わります。
Your Rock crewmember admonishes the patrol for their greed, but this only angers the Rockmen on the other ship. "Insolent whelp! I will not be insulted by a Rock who serves aboard an enemy ship!"	あなたのロッククルーメンバーは彼らの貪欲のためにパトロールを忠告しますが、これは他の船のロックマンを怒らせるだけです。「廃止された気まぐれ！私は敵の船に乗っている岩にs辱されることはありません！」
Look for Tony Sr.	トニーシニアを探してください。
Enraged by the loss of your crew member's life and the Shells' indifference to it, you arm the weapons and attack!	乗組員の命の喪失とそれに対する貝殻の無関心に激怒し、武器を武装して攻撃します！
(Ty E'Rel) Send a request for provisions.	（ty e'rel）条項のリクエストを送信します。
You begin to make your case, but as you do, you are interrupted by the arrival of the freighter that you intercepted.⏎⏎Bralmeb is astonished. "What?? You've returned so soon?? What's the meaning of this?" He mutes, and you're greeted with a few moments of radio silence as the freighter privately fills in the Praetors.⏎⏎Mayeb, meanwhile, takes the opportunity to contact you. "Renegade, I appreciate your help in this matter, but I urge you to try and defuse the situation. I don't know if it's still possible, but do what you can."	あなたはあなたの主張を始め始めますが、あなたがそうするように、あなたはあなたが傍受した貨物船の到着によって中断されます。「何??あなたはすぐに戻ったのですか？これの意味は何ですか？」彼はミュートされ、貨物船がプレーターを個人的に満たしているので、あなたはラジオの沈黙の少しの瞬間に迎えられます。「レネゲード、私はこの問題についてあなたの助けに感謝しますが、私はあなたに状況を和らげることを促します。それがまだ可能かどうかはわかりませんが、あなたができることをします。」
